Link,Status,Arquivo
https://drive.google.com/open?id=1iWKWr68d-1VH88I2jraW-gMlA1vwUVpT,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1JBIIvQHCeJmoExSWUwhjArP3uAb8EJ-2,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1YkmeSjdWXE828KR5phK6MdZoynaPI2ro,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1Y6qyOBz8AWJiY_0ipG5ilqnF8jwqrTfn,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1zqDbQvIZDDoC5DR3KZ799zc_bO49OxFy,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1i2-6U_NY2vkiR8AvgVwLzIXoDnrbo2CF,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=14Oxur3fFNKlSliFZ14oT5DAPpGwgRbmt,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1zFGjcgZwGXs3igEtPvNw4fHSrXQCt_-F,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1BKM8fdg2a3UU7QNPbv3CyKnWcpBbOtv0,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1FEPO8HGHECzt5TFO0thPYRlSTWse1fyM,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=14A5VFq_-GbR12w9Ae2Bi4IGh6lCvTU7q,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1d_YIz6XBmilLBaYLkmKsCC6h5ugcOgjR,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1ZjlYXcIe349o1NfoN3fD5ghKUFCLXj0G,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1_agxWI94M8YMLMOx3aoEXGGjbKxuBqkh,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1wqzgbhBV4kHXtGRwPuF6bGbHXa_gXnt5,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1U2Qvc1IE9XE8MjvBX4X3qshwKhZCbTc0,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=16V1cY4O7wnfXtwplAejYs3H5olHFdlbG,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1zrs9nP62feP7COz-D0b_XcF0MOYBMw3y,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1IfM7Ax6ytHXLuIBxNLKDijOBbZLPLjTc,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1JDCtKANWeEhKzCmbThcPkEfVC309qU95,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1UKTyIeOVoA-lvhN-nAmPIYxX9Un-UsZ9,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1BGcMEJCvgkKIM9ncUE2P9f2uj8LtBSbB,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=195qvQ7dQglhPREsR_wExk8thi4zb5c4D,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1upkp_jh2psZb3KrJ1qxT83jiWNN80hjs,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1On1ZzBcJthuogIfzHV927PD3Fbg13ANM,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1AMxwFGWnJ0tm6sn_M6j9WDj3fad4QIc1,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=17B1438wmSLvR7sH_a_afaGB7W5woykIG,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1PwybyHe6kPswincMxENLKnQwEweXtvur,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1skHrPQp761X0ZqY6eJ163xx5HTmyGSrA,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1Sg5La9wyTOpwcnBE1PFel2ILCSpS5OIs,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=15chuXC6AHWry63B5aFyYU8TZCp3GRFH8,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1XjeaKa-skfQtdfOyggqJCKHbi9scrp2m,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1-G3fGhJA_0BoX7GpkuY3H9YX7AVESLHf,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1rTY_tbGt050WkVotdswO9J2cdCDfpo_T,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1VHUY2opLxpNr9ZpC_5_07wK0LSJg8H4l,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1W9EdxBbW_DuOIjPbvZtNgkjJ44OO2VD0,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=11EzMNfs2XakJzLXjrLcnGZV4AY-Y3YPW,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1aDBoRc8hQ5UECtrVsYh04ENSVRs-61mv,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1off4VV-rtSu7XJCyD3PRBXrH00FPaiXV,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1_AvNpmMb5wnh-oR8ChEKlaoig8GPcgxP,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1rH1CE5pTh-QpYAn2MN94l2053NCR5oMj,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1G37LHXjGi3pXtTxLw-b34G22vRz_RYsd,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1gKW58PZwFWA0-Tl8blVm7jEtoyaGHBFM,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1lI87POsWsymrca2GaO_X6xbovZ_1l1AS,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1t5DD7x2DWJdHOAL1zZ7yTS4Cu6ucXlcI,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1bnejTKmDMk345x0k2L3YgcDHUiMOe4-K,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1dg7-OU-4_YSVRyhczPQfkt7CDaywNnhk,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1nTGcX7HFeAURdXwB9mpWC0BdeKPsPjdC,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1vxG-_EQP3DOUBdATnHHxQS_63isoiRZK,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1stLnVDrJ0KyRlONO-6O6DSXHePhTWqCg,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1TKXwN7gGup1pMDVhDqjk2dfpiuNB40n_,ERRO,download() got an unexpected keyword argument 'fuzzy'
